"","b","SE","df","t","p","Mdiag","SDdiag","Mnond","SDnond","d","upper","lower","variance","ICC"
"S1Rtot",-0.083,0.012,799.418,-7.174,"< .001**",2.4,1,2.6,1,-0.16,-0.09,-0.23,0.0013,0.43
"S1M1",-1.217,0.183,799.715,-6.663,"< .001**",22.6,17.5,25,17.2,-0.16,-0.09,-0.23,0.0013,0.61
"S2Rtot",0.004,0.009,838.117,0.49,".624",6.1,1,6.1,1,0,0.07,-0.07,0.0012,0.75
"S2M1",0.161,0.145,2453.055,1.111,".267",84.3,14.8,84,14.7,0.02,0.09,-0.05,0.0012,0.75
"S3Rtotbad",-0.096,0.014,812,-6.784,"< .001**",2.1,0.8,2.3,0.9,-0.23,-0.13,-0.33,0.0025,0.52
"S3M1bad",-1.141,0.26,812,-4.388,"< .001**",20.3,17.1,22.6,17.1,-0.15,-0.05,-0.25,0.0025,0.61
"S3Rtotgood",0.046,0.013,812,3.445,".001*",6.3,0.7,6.2,0.8,0.12,0.22,0.02,0.0025,0.52
"S3M1good",0.694,0.191,812,3.634,"< .001**",88.1,11.9,86.7,13.9,0.13,0.22,0.03,0.0025,0.64
